RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1548878,-2205031,-9.588762,159.972436,9:35:20S,159:58:21E,57LXK0671139904,SC57-07,H,STM,,BP,0,,,,N,,Mbetitorea,,MBETITOREARIVER,Mbetitorea River,Mbetitorea River,MBETITOREARIVER,Mbetitorea River,Mbetitorea River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548874,-2205027,-9.537126,159.911505,9:32:14S,159:54:41E,57LXK0003945632,SC57-07,H,STM,,BP,0,,,,N,,Mbetisahata,,MBETISAHATARIVER,Mbetisahata River,Mbetisahata River,MBETISAHATARIVER,Mbetisahata River,Mbetisahata River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548866,-2205019,-9.618422,159.982576,9:37:06S,159:58:57E,57LXK0781436621,SC57-07,H,STM,,BP,0,,,,N,,Mbetimbau,,MBETIMBAURIVER,Mbetimbau River,Mbetimbau River,MBETIMBAURIVER,Mbetimbau River,Mbetimbau River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548864,-2205017,-9.556371,159.974318,9:33:23S,159:58:28E,57LXK0692743485,SC57-07,H,STM,,BP,0,,,,N,,Mbetilonga,,MBETILONGARIVER,Mbetilonga River,Mbetilonga River,MBETILONGARIVER,Mbetilonga River,Mbetilonga River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552512,-2209652,-7.007498,155.79267,7:00:27S,155:47:34E,56MRT0856824504,SB56-16,H,STM,,BP,0,,,,N,,,,TOANAPINA,Toanapina,Toanapina,TOANAPINA,Toanapina,Toanapina,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552370,-2209469,-6.98174,156.037404,6:58:54S,156:02:15E,57MSN7262327240,SB57-09,H,COVE,,BP,0,,,,N,,,,TEABAY,Tea Bay,Tea Bay,TEABAY,Tea Bay,Tea Bay,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552160,-2209225,-7.066708,155.659198,7:04:00S,155:39:33E,56MQT9377218038,SB56-16,H,CHNM,,BP,0,,,,N,,,,TANIRIPASSAGE,Taniri Passage,Taniri Passage,TANIRIPASSAGE,Taniri Passage,Taniri Passage,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551902,-2208893,-7.409298,155.546219,7:24:33S,155:32:46E,56MQS8107080198,SB56-16,H,CHNM,,BP,0,,,,N,,,,TAGHAGHOAPASSAGE,Taghaghoa Passage,Taghaghoa Passage,TAGHAGHOAPASSAGE,Taghaghoa Passage,Taghaghoa Passage,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550466,-2207042,-7.097946,155.866173,7:05:53S,155:51:58E,56MRT1663414444,SB56-16,H,COVE,,BP,0,,,,N,,,,PAREGOROBAY,Paregoro Bay,Paregoro Bay,PAREGOROBAY,Paregoro Bay,Paregoro Bay,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550407,-2206963,-6.930112,156.059788,6:55:48S,156:03:35E,57MSN7506332970,SB57-09,H,STM,,BP,0,,,,N,,,,PANAU,Panau,Panau,PANAU,Panau,Panau,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550396,-2206950,-7.383778,155.598634,7:23:02S,155:35:55E,56MQS8687782989,SB56-16,H,STM,,BP,0,,,,N,,,,PALUSUA,Palusua,Palusua,PALUSUA,Palusua,Palusua,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550350,-2206889,-6.787125,156.040321,6:47:14S,156:02:25E,57MSN7281248784,SB57-09,H,STM,,BP,0,,,,N,,,,PAE,Pae,Pae,PAE,Pae,Pae,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550519,-2207110,-7.959508,156.942123,7:57:34S,156:56:32E,57MTM7315419614,SB57-13,H,STM,,BP,0,,,,N,,,,PATUPAELE,Patupaele,Patupaele,PATUPAELE,Patupaele,Patupaele,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550332,-2206859,-7.791006,156.607098,7:47:28S,156:36:26E,57MTM3609738059,SB57-13,H,STM,,BP,0,,,,N,,,,OULA,Oula,Oula,OULA,Oula,Oula,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551990,-2209004,-9.523,159.956672,9:31:23S,159:57:24E,57LXK0500147181,SC57-07,H,STM,,BP,0,,,,N,,Taleale,,TALEALERIVER,Taleale River,Taleale River,TALEALERIVER,Taleale River,Taleale River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551982,-2208993,-9.595166,159.98763,9:35:43S,159:59:15E,57LXK0837639191,SC57-07,H,STM,,BP,0,,,,N,,Talame,,TALAMERIVER,Talame River,Talame River,TALAMERIVER,Talame River,Talame River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551981,-2208992,-9.555138,159.966447,9:33:18S,159:57:59E,57LXK0606443624,SC57-07,H,STM,,BP,0,,,,N,,Talame,,TALAMERIVER,Talame River,Talame River,TALAMERIVER,Talame River,Talame River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551978,-2208989,-9.612931,159.992504,9:36:47S,159:59:33E,57LXK0890537225,SC57-07,H,STM,,BP,0,,,,N,,,,TALAKELAKI,Talakelaki,Talakelaki,TALAKELAKI,Talakelaki,Talakelaki,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551960,-2208968,-9.434594,159.926904,9:26:05S,159:55:37E,57LXK0175956965,SC57-07,H,STM,,BP,0,,,,N,,,,TAKONGGONI,Takonggoni,Takonggoni,TAKONGGONI,Takonggoni,Takonggoni,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551791,-2208759,-9.442344,159.800708,9:26:32S,159:48:03E,57LWK8790256142,SC57-07,H,STM,,BP,0,,,,N,,Sura,,SURARIVER,Sura River,Sura River,SURARIVER,Sura River,Sura River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545566,-2200809,-8.150198,156.935,8:09:01S,156:56:06E,57LTL7247598516,SC57-01,H,CHNM,,BP,0,,,,N,,,,FERGUSONPASSAGE,Ferguson Passage,Ferguson Passage,FERGUSONPASSAGE,Ferguson Passage,Ferguson Passage,,2010-11-22,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550233,-2206728,-9.574992,159.97549,9:34:30S,159:58:32E,57LXK0705041426,SC57-07,H,STM,,BP,0,,,,N,,,,OLSENSCREEK,Olsen’s Creek,Olsen's Creek,OLSENSCREEK,Olsen’s Creek,Olsen's Creek,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550167,-2206649,-9.542982,159.858057,9:32:35S,159:51:29E,57LWK9417144999,SC57-07,H,STM,,BP,0,,,,N,,Ohe,,OHERIVER,Ohe River,Ohe River,OHERIVER,Ohe River,Ohe River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550110,-2206540,-9.601837,159.995519,9:36:07S,159:59:44E,57LXK0924038451,SC57-07,H,STM,,BP,0,,,,N,,Nunuhukama,,NUNUHUKAMARIVER,Nunuhukama River,Nunuhukama River,NUNUHUKAMARIVER,Nunuhukama River,Nunuhukama River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550095,-2206524,-9.529314,159.914018,9:31:46S,159:54:50E,57LXK0031746495,SC57-07,H,STM,,BP,0,,,,N,,Nuhupotia,,NUHUPOTIARIVER,Nuhupotia River,Nuhupotia River,NUHUPOTIARIVER,Nuhupotia River,Nuhupotia River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550055,-2206463,-9.693349,159.989675,9:41:36S,159:59:23E,57LXK0856928334,SC57-07,H,STM,,BP,0,,,,N,,Noro,,NORORIVER,Noro River,Noro River,NORORIVER,Noro River,Noro River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550022,-2206417,-9.529282,159.90875,9:31:45S,159:54:32E,57LWK9973946500,SC57-07,H,STM,,BP,0,,,,N,,Njirini,,NJIRINIRIVER,Njirini River,Njirini River,NJIRINIRIVER,Njirini River,Njirini River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550015,-2206409,-9.529842,159.9168,9:31:47S,159:55:00E,57LXK0062246436,SC57-07,H,STM,,BP,0,,,,N,,Njiho,,NJIHORIVER,Njiho River,Njiho River,NJIHORIVER,Njiho River,Njiho River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1549914,-2206279,-9.460079,159.958172,9:27:36S,159:57:29E,57LXK0518554138,SC57-07,H,STM,,BP,0,,,,N,,Ngoti,,NGOTIRIVER,Ngoti River,Ngoti River,NGOTIRIVER,Ngoti River,Ngoti River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1549769,-2206110,-9.3673,159.823949,9:22:02S,159:49:26E,57LWK9047364434,SC57-07,H,STM,,BP,0,,,,N,,Ngalimloonu,,NGALIMLOONURIVER,Ngalimloonu River,Ngalimloonu River,NGALIMLOONURIVER,Ngalimloonu River,Ngalimloonu River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1549647,-2205954,-9.541301,159.984753,9:32:29S,159:59:05E,57LXK0807745148,SC57-07,H,STM,,BP,0,,,,N,,Ndorundoru,,NDORUNDORURIVER,Ndorundoru River,Ndorundoru River,NDORUNDORURIVER,Ndorundoru River,Ndorundoru River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1549643,-2205949,-9.61981,159.762824,9:37:11S,159:45:46E,57LWK8370036529,SC57-07,H,STM,,BP,0,,,,N,,Ndorohe,,NDOROHERIVER,Ndorohe River,Ndorohe River,NDOROHERIVER,Ndorohe River,Ndorohe River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547302,-2203003,-9.609111,159.693026,9:36:33S,159:41:35E,57LWK7604337728,SC57-07,H,STM,,BP,0,,,,N,,Kombau,,KOMBAURIVER,Kombau River,Kombau River,KOMBAURIVER,Kombau River,Kombau River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547302,-2202572,-9.609111,159.693026,9:36:33S,159:41:35E,57LWK7604337728,SC57-07,H,STM,,BP,0,,,,V,,,,KOBAUCREEK,Kobau Creek,Kobau Creek,KOBAUCREEK,Kobau Creek,Kobau Creek,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1547302,-2199828,-9.609111,159.693026,9:36:33S,159:41:35E,57LWK7604337728,SC57-07,H,STM,,BP,0,,,,V,,,,AWALERIVER,Awale River,Awale River,AWALERIVER,Awale River,Awale River,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1547295,-2202996,-9.379585,159.740829,9:22:47S,159:44:27E,57LWK8134363096,SC57-07,H,STM,,BP,0,,,,N,,Komauri,,KOMAURIRIVER,Komauri River,Komauri River,KOMAURIRIVER,Komauri River,Komauri River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547291,-2202989,-9.334552,159.597121,9:20:04S,159:35:50E,57LWK6557268105,SC57-07,H,STM,,BP,0,,,,N,,Ko Mamkulu,,KOMAMKULURIVER,Ko Mamkulu River,Ko Mamkulu River,KOMAMKULURIVER,Ko Mamkulu River,Ko Mamkulu River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545858,-2201223,-8.390554,157.545904,8:23:26S,157:32:45E,57LUL3989972229,SC57-02,H,CHNM,,BP,0,,,,N,,,,GUBBINSCHANNEL,Gubbins Channel,Gubbins Channel,GUBBINSCHANNEL,Gubbins Channel,Gubbins Channel,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545858,-2208109,-8.390554,157.545904,8:23:26S,157:32:45E,57LUL3989972229,SC57-02,H,CHNM,,BP,0,,,,V,,,,SANGAVALIPA,Sangava Lipa,Sangava Lipa,SANGAVALIPA,Sangava Lipa,Sangava Lipa,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545818,-2201144,-8.030322,157.601641,8:01:49S,157:36:06E,57LUM4589912087,SC57-02,H,CHNM,,BP,0,,,,N,,,,GHURAVAPASSAGE,Ghurava Passage,Ghurava Passage,GHURAVAPASSAGE,Ghurava Passage,Ghurava Passage,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
